paperID	caseID	location	zone	crop	crop2	exp_detail	experiment	agriculture	pest	Xe	Se	Ne	Xc	Sc	Nc	hedges_d	var
art18	D17	jamaica	tropical	coffee	coffee	exclusion	exclusion	mixed	arthropod	7.82	3.443544685	5	4.4	3.532987404	5	0.885476734	0.439203452
art18	D18	jamaica	tropical	coffee	coffee	exclusion	exclusion	mixed	arthropod	10.52	3.288768767	10	4.2	3.415259873	10	1.80544593	0.281490875
art19	D19	newzeland	temperate	vineyard	vineyard	introduction	attraction	traditional	bird	12.5	3.85	25	6.25	2.6	25	1.872701776	0.115070119
art19	D20	newzeland	temperate	vineyard	vineyard	introduction	attraction	traditional	bird	1.32	1.45	25	0.35	1.05	25	0.754218528	0.085688456
art19	D21	newzeland	temperate	vineyard	vineyard	introduction	attraction	traditional	bird	18.48	9.85	25	16.93	8.7	25	0.164175857	0.080269537
art19	D22	newzeland	temperate	vineyard	vineyard	introduction	attraction	traditional	bird	10.12	6.8	25	1.05	2.1	25	1.774013997	0.111471257
art20	D23	southafrica	tropical	macadamia	other	exclusion	exclusion	traditional	arthropod	139.206	122.169	16	104.859	61.239	17	0.350168076	0.123181373
art22	D24	southkorea	temperate	brassica	other	exclusion	exclusion	traditional	arthropod	20.94	12.21880518	18	9.65	7.509474016	18	1.088531586	0.12756807
art23	D25	usa	temperate	strawberry	other	exclusion	exclusion	organic	bird	27.4	7.212489168	18	23.6	6.788225099	18	0.530523045	0.115020204
art24	D26	kenya	tropical	brassica	other	exclusion	exclusion	traditional	arthropod	0.26	0.084852814	18	0.14	0.042426407	18	1.749102062	0.153602195
art24	D27	kenya	tropical	brassica	other	exclusion	exclusion	traditional	arthropod	0.43	0.24	9	0.17	0.09	9	1.366206546	0.274070009
art25	D28	malaysia	tropical	palm	other	exclusion	exclusion	traditional	arthropod	0.071	0.084852814	8	0.024	0.033941125	8	0.687635464	0.264776329
art26	D29	australia	temperate	apple	apple	exclusion	exclusion	organic	arthropod	14	21.21320344	50	4	7.071067812	50	0.627602932	0.041969427
art28	D30	australia	temperate	apple	apple	exclusion	exclusion	mixed	arthropod	16.66666667	20.66293136	10	3.245614035	12.73742344	10	0.74889556	0.214021114
art28	D31	australia	temperate	apple	apple	exclusion	exclusion	mixed	arthropod	39.03508772	15.1433812	10	17.98245614	17.83239282	10	1.218857095	0.237140315
art28	D32	australia	temperate	apple	apple	exclusion	exclusion	mixed	arthropod	24.8245614	34.95715101	10	9.649122807	20.23835058	10	0.508862989	0.206473539
art28	D33	australia	temperate	apple	apple	exclusion	exclusion	mixed	arthropod	17.89473684	27.88080464	10	5.701754386	11.18062724	10	0.549780125	0.207556455
art28	D34	australia	temperate	apple	apple	exclusion	exclusion	mixed	arthropod	16.14035088	69.63124816	10	7.456140351	16.55865047	10	0.164341202	0.200675201
art28	D35	australia	temperate	apple	apple	exclusion	exclusion	mixed	arthropod	2.719298246	4.811915522	10	10.35087719	27.03164308	10	-0.376472611	0.203543291
art29	D36	australia	temperate	vineyard	vineyard	perch	attraction	traditional	bird	8.57	5.334716487	12	4.13	5.334716487	12	0.803584701	0.180119758
art31	D37	jamaica	tropical	coffee	coffee	exclusion	exclusion	traditional	arthropod	3.68	1.314534138	30	2.94	0.985900604	30	0.628619288	0.069959685
art31	D38	jamaica	tropical	coffee	coffee	exclusion	exclusion	traditional	arthropod	0.08	0.109544512	30	0.14	0.109544512	30	-0.540609278	0.069102153
art32	D39	spain	temperate	apple	apple	exclusion	exclusion	traditional	arthropod	0.32	0.822192192	40	0.13	0.379473319	40	0.293867799	0.050539739
art33	D40	costarica	tropical	coffee	coffee	exclusion	exclusion	traditional	arthropod	22.61	10.30961687	18	18.7	12.51579003	18	0.333433479	0.112655248
art33	D41	costarica	tropical	coffee	coffee	exclusion	exclusion	traditional	arthropod	25.13	11.45512986	18	23.39	9.970205615	18	0.158435032	0.111459745
art33	D42	costarica	tropical	coffee	coffee	exclusion	exclusion	traditional	arthropod	4.11	7.721606051	18	2.03	4.921463197	18	0.314110534	0.112481464
art33	D43	costarica	tropical	coffee	coffee	exclusion	exclusion	traditional	arthropod	9.53	9.248956698	18	5.37	6.23668181	18	0.515667234	0.114804343
art35	D44	jamaica	tropical	coffee	coffee	exclusion	exclusion	agroforestry	arthropod	0.194	0.134	4	0.143	0.1	4	0.375102378	0.508793862
art35	D45	jamaica	tropical	coffee	coffee	exclusion	exclusion	traditional	arthropod	0.387	0.08	4	0.208	0.07	4	2.070765719	0.768004416
art38	D46	canada	temperate	cereals	cereals	exclusion	exclusion	traditional	arthropod	12.99	4.56	6	11.24	4.27	6	0.365227234	0.338891289
art38	D47	canada	temperate	cereals	cereals	exclusion	exclusion	traditional	arthropod	18.43	10.97	6	10.85	4.35	6	0.837967318	0.362591218
art38	D48	canada	temperate	cereals	cereals	exclusion	exclusion	traditional	arthropod	11.44	3.43	6	7.72	2.15	6	1.197850909	0.393118617
art38	D49	canada	temperate	cereals	cereals	exclusion	exclusion	traditional	arthropod	8.79	2.16	6	8.99	2.94	6	-0.070945997	0.333543056
art39	D50	tanzania	tropical	coffee	coffee	exclusion	exclusion	agroforestry	arthropod	2.106	0.800207473	12	1.644	0.744781847	12	0.577068329	0.17360433
art39	D51	tanzania	tropical	coffee	coffee	exclusion	exclusion	traditional	arthropod	0.877	0.339481958	12	0.896	0.325625552	12	-0.055151528	0.166730035
art39	D52	tanzania	tropical	coffee	coffee	exclusion	exclusion	traditional	arthropod	1.123	0.55772036	12	0.916	0.367194771	12	0.423286514	0.170399406
art48	D53	brazil	tropical	cacao	cacao	exclusion	exclusion	traditional	arthropod	7.19	10.879	24	7.15	10.99	24	0.00359813	0.083333468
art52	D54	netherlands	temperate	apple	apple	exclusion	exclusion	traditional	arthropod	13.8	6.633249581	44	11.2	6.734983296	56	0.385627003	0.041327957
art53	D55	costarica	tropical	coffee	coffee	exclusion	exclusion	agroforestry	arthropod	6.08	0.537587202	10	5.71	0.569209979	10	0.640084114	0.210242692
art54	D56	usa	temperate	apple	apple	exclusion	exclusion	organic	arthropod	0.057	0.107	35	0.108	0.134	35	-0.415949001	0.058378668
art55	D57	usa	temperate	strawberry	other	exclusion	exclusion	organic	arthropod	0.089	0.093273791	45	0.111	0.121255928	45	-0.20163877	0.044670323
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
